year,month,earthquake,temperature
2010,1,110,7
2010,2,103,6.5
2010,3,104,9.1
2010,4,101,12.4
2010,5,94,19
2010,6,91,23.6
2010,7,110,28
2010,8,98,29.6
2010,9,123,25.1
2010,10,164,18.9
2010,11,101,13.5
2010,12,114,9.9
2011,1,77,5.1
2011,2,163,7
2011,3,4026,8.1
2011,4,1980,14.5
2011,5,943,18.5
2011,6,715,22.8
2011,7,592,27.3
2011,8,566,27.5
2011,9,464,25.1
2011,10,440,19.5
2011,11,357,14.9
2011,12,357,7.5
2012,1,344,4.8
2012,2,311,5.4
2012,3,343,8.8
2012,4,281,14.5
2012,5,253,19.6
2012,6,244,21.4
2012,7,259,26.4
2012,8,254,29.1
2012,9,185,26.2
2012,10,272,19.4
2012,11,185,12.7
2012,12,207,7.3
2013,1,188,5.5
2013,2,265,6.2
2013,3,162,12.1
2013,4,272,15.2
2013,5,206,19.8
2013,6,179,22.9
2013,7,214,27.3
2013,8,209,29.2
2013,9,163,25.2
2013,10,165,19.8
2013,11,194,13.5
2013,12,170,8.3
2014,1,152,6.3
2014,2,146,5.9
2014,3,159,10.4
2014,4,153,15
2014,5,187,20.3
2014,6,143,23.4
2014,7,180,26.8
2014,8,161,27.7
2014,9,196,23.2
2014,10,142,19.1
2014,11,267,14.2
2014,12,166,6.7
2015,1,149,5.8
2015,2,155,5.7
2015,3,142,10.3
2015,4,133,14.5
2015,5,161,21.1
2015,6,160,22.1
2015,7,135,26.2
2015,8,165,26.7
2015,9,130,22.6
2015,10,169,18.4
2015,11,164,13.9
2015,12,178,9.3
2016,1,167,6.1
2016,2,141,7.2
2016,3,115,10.1
2016,4,3146,15.4
2016,5,664,20.2
2016,6,369,22.4
2016,7,284,25.4
2016,8,238,27.1
2016,9,211,24.4
2016,10,571,18.7
2016,11,377,11.4
2016,12,304,8.9
2017,1,153,5.8
2017,2,145,6.9
2017,3,157,8.6
2017,4,187,14.7
2017,5,164,20
2017,6,218,22
2017,7,177,27.3
2017,8,210,26.4
2017,9,188,22.8
2017,10,143,16.8
2017,11,144,11.9
2017,12,142,6.6
2018,1,131,4.7
2018,2,107,5.4
2018,3,169,11.5
2018,4,181,17
2018,5,161,19.8
2018,6,200,22.4
2018,7,159,28.3
2018,8,131,28.1
2018,9,409,22.9
2018,10,184,19.1
2018,11,201,14
2018,12,146,8.3
2019,1,158,5.6
2019,2,131,7.2
2019,3,138,10.9
2019,4,111,13.6
2019,5,124,20
2019,6,185,21.8
2019,7,130,24.1
2019,8,104,28.4
2019,9,105,25.1
2019,10,107,19.4
2019,11,128,13.1
2019,12,143,8.5
